S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent,
5,Western Australia,53920,Halls Creek,559,26.9657501,473,22.92777508,1032,24.9516441,
5,Western Australia,53990,Harvey,3253,21.1756282,3015,19.54239046,6268,20.35725885,
5,Western Australia,54060,Irwin,249,13.0640084,267,13.79132231,516,13.43050495,
5,Western Australia,54130,Jerramungup,150,23.255814,118,20.77464789,268,22.09398186,
5,Western Australia,54170,Joondalup,16184,19.0925607,15185,17.88764416,31369,18.48965855,
5,Western Australia,54200,Kalamunda,6128,19.5901666,5722,18.229316,11850,18.90856869,
5,Western Australia,54280,Kalgoorlie-Boulder,3490,21.3012695,3187,22.14578556,6677,21.69618197,
5,Western Australia,54310,Karratha,3102,23.3426142,2916,26.63500183,6018,24.82980567,
5,Western Australia,54340,Katanning,430,19.4043321,411,19.81677917,841,19.6037296,
5,Western Australia,54410,Kellerberrin,90,14.8270181,75,13.41681574,165,14.1509434,
5,Western Australia,54480,Kent,60,20.2702703,56,24.56140351,116,22.13740458,
5,Western Australia,54550,Kojonup,199,20.5366357,220,22.04408818,419,21.30147433,
5,Western Australia,54620,Kondinin,86,18.6956522,78,19.59798995,164,19.11421911,
5,Western Australia,54690,Koorda,22,10.7843137,33,19.76047904,55,14.82479784,
5,Western Australia,54760,Kulin,85,21.8508997,98,24.19753086,183,23.04785894,
5,Western Australia,54830,Kwinana,5896,21.8192584,5529,22.04457558,11425,21.92772009,
5,Western Australia,54900,Lake Grace,138,19.273743,99,16.92307692,237,18.21675634,
5,Western Australia,54970,Laverton,87,8.66533865,51,11.72413793,138,9.589993051,
5,Western Australia,55040,Leonora,127,11.7920149,132,20.15267176,259,14.95381062,
5,Western Australia,55110,Mandurah,8431,17.5766673,8392,16.35708021,16823,16.94636957,
5,Western Australia,55180,Manjimup,761,16.0819949,784,16.65958351,1545,16.36999364,
5,Western Australia,55250,Meekatharra,89,11.125,98,19.83805668,187,14.45131376,
5,Western Australia,55320,Melville,9579,17.8526167,9040,15.92390347,18619,16.86106533,
5,Western Australia,55390,Menzies,11,2.63788969,22,13.92405063,33,5.739130435,
5,Western Australia,55460,Merredin,317,18.9706762,317,19.84971822,634,19.4002448,
5,Western Australia,55530,Mingenew,43,18.6956522,47,25.13368984,90,21.58273381,
5,Western Australia,55600,Moora,243,19.8367347,201,17.22365039,444,18.56187291,
5,Western Australia,55670,Morawa,76,20.9366391,62,19.62025316,138,20.32400589,
5,Western Australia,55740,Mosman Park,751,15.5938538,846,16.21932515,1597,15.91905901,
5,Western Australia,55810,Mount Magnet,74,19.6286472,65,20.0617284,139,19.82881598,
5,Western Australia,55880,Mount Marshall,39,15.9183673,46,21.2962963,85,18.43817787,
5,Western Australia,55950,Mukinbudin,62,18.5628743,47,17.66917293,109,18.16666667,
5,Western Australia,56090,Mundaring,3640,16.7734206,3221,16.3336714,6861,16.56406171,
5,Western Australia,56160,Murchison,10,17.5438596,11,22.44897959,21,19.81132075,
5,Western Australia,56230,Murray,1822,18.4356977,1696,17.06237425,3518,17.74706149,
5,Western Australia,56300,Nannup,104,12.3368921,92,11.66032953,196,12.00980392,
5,Western Australia,56370,Narembeen,81,17.8414097,72,18.99736148,153,18.36734694,
5,Western Australia,56460,Narrogin,446,17.9188429,430,17.24137931,876,17.57977122,
5,Western Australia,56580,Nedlands,2238,18.554137,2060,17.07418152,4298,17.81406723,
5,Western Australia,56620,Ngaanyatjarraku,133,19.3033382,150,18.98734177,283,19.13455037,
5,Western Australia,56730,Northam,1176,18.9708017,1064,17.75108442,2240,18.37119659,
