"Year","StateName","LGA_Name","Total_Persons","Percent_Change"
2018,"Victoria","Melbourne",163363,4.74941650209033
2018,"Victoria","Other LGA",6259675,1.83877336800587
2018,"Western Australia","Other LGA",2590359,1.24094820308543
2018,"Western Australia","Perth",27433,1.18397757450575
2019,"New South Wales","Other LGA",7817152,1.1903911255539
2019,"New South Wales","Sydney",229596,0.136075783744178
2019,"Northern Territory","Darwin",85308,-0.559518813820115
2019,"Northern Territory","Other LGA",161251,-0.0347164103231726
2019,"Queensland","Brisbane",1247133,1.64596744089758
2019,"Queensland","Other LGA",3841714,1.6411155956118
2019,"South Australia","Adelaide",25376,2.78677900194426
2019,"South Australia","Other LGA",1742019,1.1949235789152
2019,"Victoria","Melbourne",168952,3.42121533027675
2019,"Victoria","Other LGA",6368353,1.73616042366417
2019,"Western Australia","Other LGA",2631411,1.58479963588059
2019,"Western Australia","Perth",28214,2.84693617176393
2020,"New South Wales","Other LGA",7883360,0.846958073733247
2020,"New South Wales","Sydney",227250,-1.02179480478754
2020,"Northern Territory","Darwin",85109,-0.233272377737141
2020,"Northern Territory","Other LGA",162319,0.662321473975355
2020,"Queensland","Brisbane",1263500,1.31237005195116
2020,"Queensland","Other LGA",3902113,1.57218887194622
2020,"South Australia","Adelaide",25964,2.3171500630517
2020,"South Australia","Other LGA",1764391,1.28425694553274
2020,"Victoria","Melbourne",170589,0.968914247833704
2020,"Victoria","Other LGA",6444457,1.19503425768013
2020,"Western Australia","Other LGA",2683324,1.97281990536636
2020,"Western Australia","Perth",29588,4.86992273339477
2021,"New South Wales","Other LGA",7882359,-0.0126976314667857
2021,"New South Wales","Sydney",214703,-5.52123212321232
2021,"Northern Territory","Darwin",84854,-0.299615786814555
2021,"Northern Territory","Other LGA",163297,0.602517265384829
2021,"Queensland","Brisbane",1262968,-0.0421052631578947
2021,"Queensland","Other LGA",3952846,1.3001417437168
2021,"South Australia","Adelaide",25522,-1.7023571098444
2021,"South Australia","Other LGA",1777079,0.719114980749732
2021,"Victoria","Melbourne",153110,-10.2462644132975
2021,"Victoria","Other LGA",6394712,-0.771903668532508
2021,"Western Australia","Other LGA",2719712,1.35607925095889
2021,"Western Australia","Perth",29653,0.219683655536028
2022,"New South Wales","Other LGA",7948429,0.838200848248602
2022,"New South Wales","Sydney",218275,1.6636935673931
2022,"Northern Territory","Darwin",84877,0.0271053810073774
2022,"Northern Territory","Other LGA",165351,1.25783082359137
2022,"Queensland","Brisbane",1283432,1.62031025330808
2022,"Queensland","Other LGA",4037509,2.14182389093833
2022,"South Australia","Adelaide",26183,2.58992241987305
2022,"South Australia","Other LGA",1795032,1.01025334270452
2022,"Victoria","Melbourne",160328,4.71425772320554
2022,"Victoria","Other LGA",6470303,1.18208607361833
2022,"Western Australia","Other LGA",2761214,1.52597039686555
